Score, Predict
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_108_mono.wav, 0.48, 0.33
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_012_mono.wav, 0.82, 0.46
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_033_mono.wav, 0.63, 0.54
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_107_mono.wav, 0.17, 0.45
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_070_mono.wav, 0.74, 0.62
/home/ubuntu/elec823/hurricane/mod5/ssn/snrLo/hvd_119_mono.wav, 0.13, 0.38
/home/ubuntu/elec823/hurricane/mod20/ssn/snrLo/hvd_073_mono.wav, 0.51, 0.32
/home/ubuntu/elec823/hurricane/mod6/ssn/snrHi/hvd_040_mono.wav, 0.90, 0.61
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_172_mono.wav, 0.11, 0.33
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_034_mono.wav, 0.19, 0.54
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_159_mono.wav, 0.95, 0.68
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_039_mono.wav, 0.10, 0.33
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_124_mono.wav, 0.67, 0.68
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_026_mono.wav, 0.29, 0.41
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_039_mono.wav, 0.94, 0.77
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_070_mono.wav, 0.40, 0.40
/home/ubuntu/elec823/hurricane/mod8/ssn/snrHi/hvd_121_mono.wav, 0.85, 0.78
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_051_mono.wav, 0.84, 0.68
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_112_mono.wav, 0.10, 0.34
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_010_mono.wav, 0.95, 0.56
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_040_mono.wav, 0.36, 0.35
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_076_mono.wav, 0.13, 0.24
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_090_mono.wav, 0.08, 0.31
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_097_mono.wav, 0.76, 0.53
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_128_mono.wav, 0.75, 0.55
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_047_mono.wav, 0.10, 0.29
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_073_mono.wav, 0.16, 0.31
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_157_mono.wav, 0.82, 0.57
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_135_mono.wav, 0.13, 0.42
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_032_mono.wav, 0.93, 0.69
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_116_mono.wav, 0.99, 0.75
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_071_mono.wav, 0.26, 0.39
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_058_mono.wav, 0.93, 0.52
/home/ubuntu/elec823/hurricane/mod1/ssn/snrHi/hvd_108_mono.wav, 0.32, 0.56
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_010_mono.wav, 0.11, 0.23
/home/ubuntu/elec823/hurricane/mod19/ssn/snrHi/hvd_105_mono.wav, 0.08, 0.36
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_158_mono.wav, 0.15, 0.33
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_100_mono.wav, 0.12, 0.30
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_048_mono.wav, 0.97, 0.60
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_127_mono.wav, 0.61, 0.55
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_074_mono.wav, 0.51, 0.30
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_022_mono.wav, 0.72, 0.67
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_016_mono.wav, 0.70, 0.63
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_088_mono.wav, 0.48, 0.35
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_149_mono.wav, 0.25, 0.26
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_095_mono.wav, 0.51, 0.38
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_155_mono.wav, 0.17, 0.51
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_152_mono.wav, 0.17, 0.44
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_139_mono.wav, 0.93, 0.73
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_042_mono.wav, 0.80, 0.58
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_161_mono.wav, 0.06, 0.45
/home/ubuntu/elec823/hurricane/mod20/ssn/snrLo/hvd_168_mono.wav, 0.59, 0.50
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_061_mono.wav, 0.12, 0.39
/home/ubuntu/elec823/hurricane/mod11/ssn/snrLo/hvd_161_mono.wav, 0.09, 0.38
/home/ubuntu/elec823/hurricane/mod16/ssn/snrMid/hvd_065_mono.wav, 0.82, 0.67
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_048_mono.wav, 0.23, 0.37
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_153_mono.wav, 0.64, 0.38
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_008_mono.wav, 0.21, 0.58
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_032_mono.wav, 0.39, 0.43
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_158_mono.wav, 0.44, 0.61
/home/ubuntu/elec823/hurricane/mod15/ssn/snrLo/hvd_047_mono.wav, 0.47, 0.41
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_109_mono.wav, 0.44, 0.63
/home/ubuntu/elec823/hurricane/mod18/ssn/snrMid/hvd_180_mono.wav, 0.08, 0.27
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_049_mono.wav, 0.13, 0.34
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_157_mono.wav, 0.75, 0.68
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_147_mono.wav, 0.49, 0.65
/home/ubuntu/elec823/hurricane/mod15/ssn/snrMid/hvd_051_mono.wav, 0.82, 0.63
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_090_mono.wav, 0.68, 0.34
/home/ubuntu/elec823/hurricane/mod6/ssn/snrHi/hvd_092_mono.wav, 0.92, 0.73
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_128_mono.wav, 0.43, 0.37
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_028_mono.wav, 0.65, 0.58
/home/ubuntu/elec823/hurricane/mod15/ssn/snrMid/hvd_104_mono.wav, 0.78, 0.43
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_138_mono.wav, 0.13, 0.34
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_008_mono.wav, 0.99, 0.55
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_070_mono.wav, 0.10, 0.39
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_140_mono.wav, 0.70, 0.49
