Score, Predict
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_032.wav, 0.93, 0.29
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_027.wav, 0.97, 0.29
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_011.wav, 0.15, 0.29
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_061.wav, 0.70, 0.29
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_105.wav, 0.70, 0.29
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_167.wav, 0.07, 0.29
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_125.wav, 0.99, 0.30
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_161.wav, 0.94, 0.30
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_044.wav, 0.14, 0.29
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_153.wav, 0.64, 0.30
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_078.wav, 0.18, 0.29
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_065.wav, 0.11, 0.29
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_051.wav, 0.07, 0.28
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_158.wav, 0.22, 0.29
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_107.wav, 0.67, 0.29
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_142.wav, 0.12, 0.28
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_177.wav, 0.95, 0.50
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_137.wav, 0.14, 0.40
/home/ubuntu/elec823/hurricane/mod15/ssn/snrMid/hvd_014.wav, 0.83, 0.43
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_062.wav, 0.96, 0.51
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_028.wav, 0.09, 0.41
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_158.wav, 0.80, 0.45
/home/ubuntu/elec823/hurricane/mod11/ssn/snrMid/hvd_055.wav, 0.19, 0.39
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_137.wav, 0.91, 0.56
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_002.wav, 0.42, 0.44
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_002.wav, 0.18, 0.38
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_141.wav, 0.51, 0.50
