Score, Predict
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_089.wav, 0.57, 0.42
/home/ubuntu/elec823/hurricane/mod20/ssn/snrLo/hvd_012.wav, 0.56, 0.31
/home/ubuntu/elec823/hurricane/mod1/ssn/snrHi/hvd_074.wav, 0.28, 0.48
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_017.wav, 0.49, 0.73
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_051.wav, 0.08, 0.51
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_028.wav, 0.08, 0.24
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_087.wav, 0.98, 0.79
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_165.wav, 0.92, 0.82
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_175.wav, 0.17, 0.91
/home/ubuntu/elec823/hurricane/mod19/ssn/snrLo/hvd_138.wav, 0.14, 0.19
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_157.wav, 0.26, 0.39
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_169.wav, 0.08, 0.14
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_137.wav, 0.19, 0.14
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_075.wav, 0.81, 0.91
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_163.wav, 0.92, 0.92
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_140.wav, 0.92, 0.95
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_169.wav, 0.74, 0.85
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_072.wav, 0.95, 0.92
/home/ubuntu/elec823/hurricane/mod11/ssn/snrMid/hvd_086.wav, 0.25, 0.44
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_121.wav, 0.11, 0.82
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_042.wav, 0.07, 0.30
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_151.wav, 0.97, 0.90
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_032.wav, 0.94, 0.97
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_129.wav, 0.09, 0.15
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_057.wav, 0.59, 0.25
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_095.wav, 0.13, 0.12
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_053.wav, 0.94, 0.92
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_018.wav, 0.97, 0.92
